message,subject,intent,issue
always same repitative answers by your all executives,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - always same repitative answers by your all executives 
To much careless and hopeless this system,,UnProfessional Behaviour,UnProfessional Behaviour - To much careless and hopeless this system 
Very poor service,,Return request,Return request - Very poor service 
Excellent work for good behaviour and taking ??,,Wrong,Wrong - Excellent work for good behaviour and taking ??
?????? ??????,,UnProfessional Behaviour,UnProfessional Behaviour - ?????? ?????? 
"In case of wrong item delivered, instead of refund it is better to deliver the correct item.",,Wrong,"Wrong - In case of wrong item delivered, instead of refund it is better to deliver the correct item."
good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - good
"Whenever delivery gets delayed, atleast give some compensation",,Order status enquiry,"Order status enquiry - Whenever delivery gets delayed, atleast give some compensation "
Nice,,Delayed,Delayed - Nice 
Customer service very good thanks,,Service Centres Related,Service Centres Related - Customer service very good thanks 
Good experience,,Installation/demo,Installation/demo - Good experience 
"Please ensure that your delivery agents perform their duties correctly and deliver the products to the locations specified in the app. It's concerning when, upon being asked to deliver a product to the indicated address, the agents choose to cancel the product on their own accord. This practice is highly unacceptable and causes significant dissatisfaction.",,Seller Cancelled Order,Seller Cancelled Order - Please ensure that your delivery agents perform their duties correctly and deliver the products to t
"Preeti provided me good assistant, the way she handles the situation is really fantastic. Good job preeti ??",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Preeti provided me good assistant, the way she handles the situation is really fantastic. Good job p"
Good skills,,General Enquiry,General Enquiry - Good skills
kindly remove the restriction of sending OTP for Shopzilla delivery.  Delivery boys calls any time during office hours,,Product Specific Information,Product Specific Information - kindly remove the restriction of sending OTP for Shopzilla delivery.  Delivery boys calls any time d
Gpod,,Refund Enquiry,Refund Enquiry - Gpod
good behaviour very understanding.,,Fraudulent User,Fraudulent User - good behaviour very understanding.
Very good,,Other Cashback,Other Cashback - Very good 
Consultant was excellent and resolved my concern instantly,,Order status enquiry,Order status enquiry - Consultant was excellent and resolved my concern instantly 
Happy,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Happy
Thanks Shopzilla,,Return request,Return request - Thanks Shopzilla
Customer service is best for my idea,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Customer service is best for my idea
"Was unable to update my mobile number as it was already available on other account, this policy can be updated",,Delayed,"Delayed - Was unable to update my mobile number as it was already available on other account, this policy can "
Worst service ever received,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Worst service ever received 
It's ok,,Product Specific Information,Product Specific Information - It's ok
Good ??,,Missing,Missing - Good ?? 
Good ??,,Delayed,Delayed - Good ??
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Good talk customer service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good talk customer service 
Wrost experience from Shopzilla,,Delayed,Delayed - Wrost experience from Shopzilla 
Ok,,Order status enquiry,Order status enquiry - Ok
Thank you Shopzilla,,Product related Issues,Product related Issues - Thank you Shopzilla
Good job,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good job
Overall good response,,Refund Related Issues,Refund Related Issues - Overall good response 
"Executive was not at all responsive, I have addressed my issue multiple times but she was not responding. I again and again had to ask her if she is there on call and she didn\u2019t provide me any information related to my query so at the end I had cut the call because I was frustrated.",,Delayed,"Delayed -  Executive was not at all responsive, I have addressed my issue multiple times but she was not respo"
Good customer service,,Return request,Return request - Good customer service 
Thanks,,Wrong,Wrong - Thanks
Good,,Delayed,Delayed - Good
Nice one,,Return request,Return request - Nice one
Customer   time tk hold na rkhe,,Missing,Missing - Customer   time tk hold na rkhe
Thankyou for returning my product.,,Return request,Return request - Thankyou for returning my product.
Service more than fast,,Installation/demo,Installation/demo - Service more than fast
Bahut acche se,,Delayed,Delayed - Bahut acche se 
Very good,,Delayed,Delayed - Very good 
Both the agent i contacted with are providing different information I bought a product 4 days back i opened it today and it was a spoilt product with a way back manufacturing dateI contacted them immediately and they are saying you contacted 4 days later nothing can be doneWhereas no days are mentioned on terms and conditions,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Both the agent i contacted with are providing different information I bought a product 4 days back i
Nice,,Refund Related Issues,Refund Related Issues - Nice
Why are you not picking up my product,,Wrong,Wrong - Why are you not picking up my product 
My issue is not resolved for last three days.this is fifth such an incident.,,Delayed,Delayed - My issue is not resolved for last three days.this is fifth such an incident.
Really disappointed about the service of Shopzilla. Delivery agent cancelled my order without my confirmation. Really a bad user experience,,Seller Cancelled Order,Seller Cancelled Order - Really disappointed about the service of Shopzilla. Delivery agent cancelled my order without my con
"Really the coustomer care survice awesome,i really satisfied with her .. thanks ?? supporting me",,Fraudulent User,"Fraudulent User -  Really the coustomer care survice awesome,i really satisfied with her .. thanks ?? supporting me"
Nice,,Online Payment Issues,Online Payment Issues - Nice 
Mahek was a superstar,,General Enquiry,General Enquiry - Mahek was a superstar 
very well solved our problem thank you Shopzilla,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - very well solved our problem thank you Shopzilla
Good work,,Return request,Return request - Good work
My problem is not resolved,,Product Specific Information,Product Specific Information - My problem is not resolved 
Nice,,Fraudulent User,Fraudulent User - Nice
Pick up team should be adequately trained on the product,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Pick up team should be adequately trained on the product 
"please inform sellers check shipments  before dispatch,, every time i get grocery  shipments  with missing items ..",,Fraudulent User,"Fraudulent User - please inform sellers check shipments  before dispatch,, every time i get grocery  shipments  with m"
Bad service,,UnProfessional Behaviour,UnProfessional Behaviour - Bad service
Feedback from ankush,,Installation/demo,Installation/demo - Feedback from ankush 
Use less of OTP.give chence to change number,,Return request,Return request - Use less of OTP.give chence to change number 
Totally ** it is,,Installation/demo,Installation/demo - Totally ** it is 
Thanks,,Fraudulent User,Fraudulent User - Thanks 
Good job,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good job
Mr.  's way of talking was great,,Order status enquiry,Order status enquiry - Mr.  's way of talking was great
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Nice service excellent,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice service excellent 
Very well service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very well service 
It's fine,,Fraudulent User,Fraudulent User - It's fine 
Kuch kaam kr   to   faydaa kaam krne kaa,,Order status enquiry,Order status enquiry - Kuch kaam kr   to   faydaa kaam krne kaa
Try to resolve ASAP costumer issues,,Product Specific Information,Product Specific Information - Try to resolve ASAP costumer issues 
